UserID,Stock,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Quantity,Holding_Days,Profit_Loss,Mistake_Type
U0164,TCS,2015-05-25,1159.05,2015-06-05,1182.98,16,11,382.88,Good Trade
U0058,INFY,2016-08-10,1858.79,2016-09-05,1896.11,6,26,223.92,Good Trade
U0152,WIPRO,2015-07-02,1245.36,2015-07-03,1254.52,6,1,54.96,Over-trading
U0056,HDFC,2022-12-07,5351.61,2023-01-04,5428.54,2,28,153.86,Good Trade
U0144,HDFC,2023-07-24,5618.11,2023-08-11,5643.48,15,18,380.55,Good Trade
U0115,AXISBANK,2019-05-15,3235.95,2019-05-16,3235.39,49,1,-27.44,Over-trading
U0041,WIPRO,2020-05-05,3903.35,2020-05-18,3915.71,10,13,123.6,Good Trade
U0056,SBI,2016-08-09,1813.45,2016-08-12,1821.75,25,3,207.5,Good Trade
U0025,SBI,2020-05-26,3854.97,2020-06-23,3881.5,17,28,451.01,Good Trade
U0012,HUL,2023-06-02,5769.95,2023-06-08,5770.59,25,6,16.0,Good Trade
U0021,LT,2019-08-08,3518.26,2019-09-05,3575.51,24,28,1374.0,Good Trade
U0148,HDFC,2016-02-03,1545.37,2016-02-05,1561.72,43,2,703.05,Good Trade
U0059,ICICI,2016-04-01,1659.9,2016-04-13,1667.8,7,12,55.3,Good Trade
U0098,ICICI,2022-02-14,4479.41,2022-03-02,4483.12,11,16,40.81,Good Trade
U0095,SBI,2018-04-17,2642.66,2018-04-30,2676.5,45,13,1522.8,Good Trade
U0175,TCS,2017-09-07,2381.74,2017-10-03,2402.22,47,26,962.56,Good Trade
U0063,INFY,2022-04-05,4517.38,2022-04-22,4530.82,18,17,241.92,Good Trade
U0164,LT,2018-06-13,2888.98,2018-06-28,2907.14,50,15,908.0,Good Trade
U0199,RELIANCE,2018-08-07,2981.72,2018-08-09,2976.5,21,2,-109.62,Over-trading
U0103,ICICI,2016-01-15,1566.41,2016-01-26,1579.0,37,11,465.83,Good Trade
U0184,SBI,2018-05-03,2674.88,2018-05-25,2716.09,26,22,1071.46,Good Trade
U0165,HUL,2017-03-30,2329.94,2017-04-12,2352.13,9,13,199.71,Good Trade
U0064,LT,2023-06-19,5357.01,2023-06-30,5389.9,48,11,1578.72,Good Trade
U0150,WIPRO,2021-04-08,4306.23,2021-04-26,4312.84,15,18,99.15,Good Trade
U0036,LT,2022-09-30,4976.91,2022-10-05,4976.49,49,5,-20.58,Minor Loss
U0013,TCS,2017-05-26,2282.83,2017-06-05,2302.48,44,10,864.6,Good Trade
U0109,AXISBANK,2015-12-31,1535.37,2016-01-19,1553.57,25,19,455.0,Good Trade
U0153,HUL,2023-04-24,5743.1,2023-05-05,5754.79,36,11,420.84,Good Trade
U0003,TCS,2023-06-07,5112.44,2023-06-20,5135.11,50,13,1133.5,Good Trade
U0165,SBI,2016-09-30,1880.9,2016-10-14,1918.89,28,14,1063.72,Good Trade
U0041,HUL,2015-01-20,1021.2,2015-02-02,1048.85,33,13,912.45,Good Trade
U0196,INFY,2022-12-21,4819.24,2022-12-27,4836.53,41,6,708.89,Good Trade
U0077,LT,2018-02-14,2725.99,2018-02-21,2731.13,24,7,123.36,Good Trade
